transaction_id,settlement_id,match_status,anomaly_type,rule_applied,amount_delta,delay_days,confidence_level,explanation,transaction_timestamp,payment_method_x,amount_x,settlement_timestamp,settled_amount_x,transaction_ref_x,settled_amount_y,transaction_ref_y,payment_method_y,amount_y
TXN-43175bb4-bfcb-487c-8cfd-4f487bd55fdf,SET-a00bfa4d-0f03-42cd-9a31-63b76979b07e,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-07 10:44:15+00:00,UPI,59.66,2026-04-07 00:00:00+00:00,59.66,TXN-43175bb4-bfcb-487c-8cfd-4f487bd55fdf,59.66,TXN-43175bb4-bfcb-487c-8cfd-4f487bd55fdf,UPI,59.66
TXN-c75542f4-b1f5-4c78-a288-693a09338b00,SET-633b52d1-66e4-4541-96d2-60ec6822481a,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-07 18:32:19+00:00,wallet,175.96,2026-04-07 00:00:00+00:00,175.96,TXN-c75542f4-b1f5-4c78-a288-693a09338b00,175.96,TXN-c75542f4-b1f5-4c78-a288-693a09338b00,wallet,175.96
TXN-b3171548-32a3-40a5-b681-4dfd5cf2d69e,SET-1891b73a-f6a3-443d-92f2-26bdb7e61cf8,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-07 18:48:03+00:00,UPI,93.83,2026-04-07 00:00:00+00:00,93.83,TXN-b3171548-32a3-40a5-b681-4dfd5cf2d69e,93.83,TXN-b3171548-32a3-40a5-b681-4dfd5cf2d69e,UPI,93.83
TXN-af92ceb8-fef8-4be0-8ab2-75ef7671bc38,SET-d25e18ac-16f0-4ceb-b770-0fc3db901c0a,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-08 20:16:49+00:00,wallet,51.25,2026-04-08 00:00:00+00:00,51.25,TXN-af92ceb8-fef8-4be0-8ab2-75ef7671bc38,51.25,TXN-af92ceb8-fef8-4be0-8ab2-75ef7671bc38,wallet,51.25
TXN-acbeceda-6aa3-4b23-a2f4-56746db1eeeb,SET-078395b3-2beb-4025-b848-8ee23b8110d4,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-07 19:09:29+00:00,UPI,617.15,2026-04-08 00:00:00+00:00,617.15,TXN-acbeceda-6aa3-4b23-a2f4-56746db1eeeb,617.15,TXN-acbeceda-6aa3-4b23-a2f4-56746db1eeeb,UPI,617.15
TXN-235e90e8-4562-43a6-9572-158c3e03f72d,SET-743193c9-26fc-4039-9751-03f5ed533b98,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-07 02:42:55+00:00,UPI,105.25,2026-04-08 00:00:00+00:00,105.25,TXN-235e90e8-4562-43a6-9572-158c3e03f72d,105.25,TXN-235e90e8-4562-43a6-9572-158c3e03f72d,UPI,105.25
TXN-5f6bfb2b-783f-43f2-bb7f-66136beec8a2,SET-2c699d24-dccb-4d54-9b40-cc9a702e824e,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-07 06:33:47+00:00,wallet,91.26,2026-04-08 00:00:00+00:00,91.26,TXN-5f6bfb2b-783f-43f2-bb7f-66136beec8a2,91.26,TXN-5f6bfb2b-783f-43f2-bb7f-66136beec8a2,wallet,91.26
TXN-be734b1a-a69e-461d-8a5f-fb8f6c855288,SET-b64ff86c-2b1e-4334-ac8a-236b84c98fe3,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-07 21:37:51+00:00,UPI,19.35,2026-04-08 00:00:00+00:00,19.35,TXN-be734b1a-a69e-461d-8a5f-fb8f6c855288,19.35,TXN-be734b1a-a69e-461d-8a5f-fb8f6c855288,UPI,19.35
TXN-a7a434c4-09bd-44dc-9c15-93bf229ca777,SET-ada07efb-348a-44f1-9097-5d341cc42502,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-07 19:50:18+00:00,credit_card,100.47,2026-04-08 00:00:00+00:00,100.47,TXN-a7a434c4-09bd-44dc-9c15-93bf229ca777,100.47,TXN-a7a434c4-09bd-44dc-9c15-93bf229ca777,credit_card,100.47
TXN-f74a7873-f2d1-4c25-ad56-365fc13bcd94,SET-2f7c1fa5-8914-4ba6-96ae-176603d9496d,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-07 08:23:09+00:00,UPI,192.01,2026-04-08 00:00:00+00:00,192.01,TXN-f74a7873-f2d1-4c25-ad56-365fc13bcd94,192.01,TXN-f74a7873-f2d1-4c25-ad56-365fc13bcd94,UPI,192.01
