transaction_id,settlement_id,match_status,anomaly_type,rule_applied,amount_delta,delay_days,confidence_level,explanation,transaction_timestamp,payment_method,amount,settlement_timestamp,settled_amount,transaction_ref
TXN-43175bb4-bfcb-487c-8cfd-4f487bd55fdf,SET-a00bfa4d-0f03-42cd-9a31-63b76979b07e,MATCHED,,EXACT_MATCH,0.0,0.0,HIGH,Exact match on transaction TXN-43175bb4-bfcb-487c-8cfd-4f487bd55fdf and settlement SET-a00bfa4d-0f03-42cd-9a31-63b76979b07e.,2026-04-07 10:44:15+00:00,UPI,59.66,2026-04-07 00:00:00+00:00,59.66,TXN-43175bb4-bfcb-487c-8cfd-4f487bd55fdf
TXN-c75542f4-b1f5-4c78-a288-693a09338b00,SET-633b52d1-66e4-4541-96d2-60ec6822481a,MATCHED,,EXACT_MATCH,0.0,0.0,HIGH,Exact match on transaction TXN-c75542f4-b1f5-4c78-a288-693a09338b00 and settlement SET-633b52d1-66e4-4541-96d2-60ec6822481a.,2026-04-07 18:32:19+00:00,wallet,175.96,2026-04-07 00:00:00+00:00,175.96,TXN-c75542f4-b1f5-4c78-a288-693a09338b00
TXN-b3171548-32a3-40a5-b681-4dfd5cf2d69e,SET-1891b73a-f6a3-443d-92f2-26bdb7e61cf8,MATCHED,,EXACT_MATCH,0.0,0.0,HIGH,Exact match on transaction TXN-b3171548-32a3-40a5-b681-4dfd5cf2d69e and settlement SET-1891b73a-f6a3-443d-92f2-26bdb7e61cf8.,2026-04-07 18:48:03+00:00,UPI,93.83,2026-04-07 00:00:00+00:00,93.83,TXN-b3171548-32a3-40a5-b681-4dfd5cf2d69e
TXN-af92ceb8-fef8-4be0-8ab2-75ef7671bc38,SET-d25e18ac-16f0-4ceb-b770-0fc3db901c0a,MATCHED,,EXACT_MATCH,0.0,0.0,HIGH,Exact match on transaction TXN-af92ceb8-fef8-4be0-8ab2-75ef7671bc38 and settlement SET-d25e18ac-16f0-4ceb-b770-0fc3db901c0a.,2026-04-08 20:16:49+00:00,wallet,51.25,2026-04-08 00:00:00+00:00,51.25,TXN-af92ceb8-fef8-4be0-8ab2-75ef7671bc38
TXN-acbeceda-6aa3-4b23-a2f4-56746db1eeeb,SET-078395b3-2beb-4025-b848-8ee23b8110d4,MATCHED,,EXACT_MATCH,0.0,1.0,HIGH,Exact match on transaction TXN-acbeceda-6aa3-4b23-a2f4-56746db1eeeb and settlement SET-078395b3-2beb-4025-b848-8ee23b8110d4.,2026-04-07 19:09:29+00:00,UPI,617.15,2026-04-08 00:00:00+00:00,617.15,TXN-acbeceda-6aa3-4b23-a2f4-56746db1eeeb
TXN-235e90e8-4562-43a6-9572-158c3e03f72d,SET-743193c9-26fc-4039-9751-03f5ed533b98,MATCHED,,EXACT_MATCH,0.0,1.0,HIGH,Exact match on transaction TXN-235e90e8-4562-43a6-9572-158c3e03f72d and settlement SET-743193c9-26fc-4039-9751-03f5ed533b98.,2026-04-07 02:42:55+00:00,UPI,105.25,2026-04-08 00:00:00+00:00,105.25,TXN-235e90e8-4562-43a6-9572-158c3e03f72d
TXN-5f6bfb2b-783f-43f2-bb7f-66136beec8a2,SET-2c699d24-dccb-4d54-9b40-cc9a702e824e,MATCHED,,EXACT_MATCH,0.0,1.0,HIGH,Exact match on transaction TXN-5f6bfb2b-783f-43f2-bb7f-66136beec8a2 and settlement SET-2c699d24-dccb-4d54-9b40-cc9a702e824e.,2026-04-07 06:33:47+00:00,wallet,91.26,2026-04-08 00:00:00+00:00,91.26,TXN-5f6bfb2b-783f-43f2-bb7f-66136beec8a2
TXN-be734b1a-a69e-461d-8a5f-fb8f6c855288,SET-b64ff86c-2b1e-4334-ac8a-236b84c98fe3,MATCHED,,EXACT_MATCH,0.0,1.0,HIGH,Exact match on transaction TXN-be734b1a-a69e-461d-8a5f-fb8f6c855288 and settlement SET-b64ff86c-2b1e-4334-ac8a-236b84c98fe3.,2026-04-07 21:37:51+00:00,UPI,19.35,2026-04-08 00:00:00+00:00,19.35,TXN-be734b1a-a69e-461d-8a5f-fb8f6c855288
TXN-a7a434c4-09bd-44dc-9c15-93bf229ca777,SET-ada07efb-348a-44f1-9097-5d341cc42502,MATCHED,,EXACT_MATCH,0.0,1.0,HIGH,Exact match on transaction TXN-a7a434c4-09bd-44dc-9c15-93bf229ca777 and settlement SET-ada07efb-348a-44f1-9097-5d341cc42502.,2026-04-07 19:50:18+00:00,credit_card,100.47,2026-04-08 00:00:00+00:00,100.47,TXN-a7a434c4-09bd-44dc-9c15-93bf229ca777
TXN-f74a7873-f2d1-4c25-ad56-365fc13bcd94,SET-2f7c1fa5-8914-4ba6-96ae-176603d9496d,MATCHED,,EXACT_MATCH,0.0,1.0,HIGH,Exact match on transaction TXN-f74a7873-f2d1-4c25-ad56-365fc13bcd94 and settlement SET-2f7c1fa5-8914-4ba6-96ae-176603d9496d.,2026-04-07 08:23:09+00:00,UPI,192.01,2026-04-08 00:00:00+00:00,192.01,TXN-f74a7873-f2d1-4c25-ad56-365fc13bcd94
TXN-fee4f73b-f209-4049-bf66-26fd9969afda,SET-7f02c67b-90b1-4e46-b629-9497ee90570c,MATCHED,,EXACT_MATCH,0.0,0.0,HIGH,Exact match on transaction TXN-fee4f73b-f209-4049-bf66-26fd9969afda and settlement SET-7f02c67b-90b1-4e46-b629-9497ee90570c.,2026-04-08 20:32:40+00:00,UPI,41.78,2026-04-08 00:00:00+00:00,41.78,TXN-fee4f73b-f209-4049-bf66-26fd9969afda
TXN-7914be80-6a57-4a89-bbfa-d37ea77cddf0,SET-5d983c32-e75c-4e04-8c73-573c64e008a1,MATCHED,,EXACT_MATCH,0.0,0.0,HIGH,Exact match on transaction TXN-7914be80-6a57-4a89-bbfa-d37ea77cddf0 and settlement SET-5d983c32-e75c-4e04-8c73-573c64e008a1.,2026-04-08 21:49:14+00:00,UPI,247.2,2026-04-08 00:00:00+00:00,247.2,TXN-7914be80-6a57-4a89-bbfa-d37ea77cddf0
TXN-02aa08ab-a245-48f6-9f58-51ccabfbaee9,SET-791423b3-2fff-46b2-9cc7-aa841ea23cd9,MATCHED,,EXACT_MATCH,0.0,0.0,HIGH,Exact match on transaction TXN-02aa08ab-a245-48f6-9f58-51ccabfbaee9 and settlement SET-791423b3-2fff-46b2-9cc7-aa841ea23cd9.,2026-04-08 20:41:56+00:00,wallet,462.49,2026-04-08 00:00:00+00:00,462.49,TXN-02aa08ab-a245-48f6-9f58-51ccabfbaee9
TXN-b2f58590-4e1c-416c-8161-72e645d1b43a,SET-b5bd5f46-7991-4572-805c-6fc926f5e38a,MATCHED,,EXACT_MATCH,0.0,1.0,HIGH,Exact match on transaction TXN-b2f58590-4e1c-416c-8161-72e645d1b43a and settlement SET-b5bd5f46-7991-4572-805c-6fc926f5e38a.,2026-04-07 01:20:10+00:00,UPI,254.46,2026-04-08 00:00:00+00:00,254.46,TXN-b2f58590-4e1c-416c-8161-72e645d1b43a
TXN-dc0e6ce3-bb9a-4c37-a922-c317e8fdd79f,SET-de7d3503-b88d-4a33-8632-6d0113c8d57f,DUPLICATE,DUPLICATE_SETTLEMENT,EXACT_MATCH,0.0,1.0,HIGH,Settlement replay detected: SET-de7d3503-b88d-4a33-8632-6d0113c8d57f for transaction TXN-dc0e6ce3-bb9a-4c37-a922-c317e8fdd79f with amount 404.26.,2026-04-07 20:41:22+00:00,UPI,404.26,2026-04-08 00:00:00+00:00,404.26,TXN-dc0e6ce3-bb9a-4c37-a922-c317e8fdd79f
