settlement_id,transaction_ref,settled_amount,settlement_timestamp,settlement_batch_id,settlement_status,payment_method
SET-a00bfa4d-0f03-42cd-9a31-63b76979b07e,TXN-43175bb4-bfcb-487c-8cfd-4f487bd55fdf,59.66,2026-04-07,BATCH-f88da538-7c77-4c55-9593-ee33f038502e,settled,UPI
SET-633b52d1-66e4-4541-96d2-60ec6822481a,TXN-c75542f4-b1f5-4c78-a288-693a09338b00,175.96,2026-04-07,BATCH-1ef2e4e8-4f85-4f51-aa26-69e773fec33a,settled,wallet
SET-1891b73a-f6a3-443d-92f2-26bdb7e61cf8,TXN-b3171548-32a3-40a5-b681-4dfd5cf2d69e,93.83,2026-04-07,BATCH-df065351-bffb-416d-bbd9-ad8efc98770d,settled,UPI
SET-b5bd5f46-7991-4572-805c-6fc926f5e38a,TXN-b2f58590-4e1c-416c-8161-72e645d1b43a,254.46,2026-04-08,BATCH-91f53dc6-0839-4d7d-9e14-b1e7c0334032,settled,UPI
SET-791423b3-2fff-46b2-9cc7-aa841ea23cd9,TXN-02aa08ab-a245-48f6-9f58-51ccabfbaee9,462.49,2026-04-08,BATCH-5ac02cfc-be0b-48e7-a22e-115fb08d6453,settled,wallet
SET-5d983c32-e75c-4e04-8c73-573c64e008a1,TXN-7914be80-6a57-4a89-bbfa-d37ea77cddf0,247.2,2026-04-08,BATCH-8ba24fba-3c9f-426d-b9d1-cc57e482aa17,settled,UPI
SET-5b4c32e6-5ab5-4238-8805-3d90d71a4353,TXN-68a051de-5a7b-44b6-b461-3b3a60d5f4eb,342.26,2026-04-08,BATCH-308bb471-57a6-4b15-a6fd-967dc2e5391e,settled,UPI
SET-7f02c67b-90b1-4e46-b629-9497ee90570c,TXN-fee4f73b-f209-4049-bf66-26fd9969afda,41.78,2026-04-08,BATCH-ed896664-9544-4551-8ec3-f055304a5efe,settled,UPI
SET-de7d3503-b88d-4a33-8632-6d0113c8d57f,TXN-dc0e6ce3-bb9a-4c37-a922-c317e8fdd79f,404.26,2026-04-08,BATCH-15552107-8e84-468a-99ba-d2e503d88a1b,settled,UPI
SET-ada07efb-348a-44f1-9097-5d341cc42502,TXN-a7a434c4-09bd-44dc-9c15-93bf229ca777,100.47,2026-04-08,BATCH-e7c9b677-d62a-4cda-ad23-b3b9b71f45cd,settled,credit_card
SET-b64ff86c-2b1e-4334-ac8a-236b84c98fe3,TXN-be734b1a-a69e-461d-8a5f-fb8f6c855288,19.35,2026-04-08,BATCH-4552f9c4-e9e0-4523-a1b0-5b88ee06cbff,settled,UPI
SET-2f7c1fa5-8914-4ba6-96ae-176603d9496d,TXN-f74a7873-f2d1-4c25-ad56-365fc13bcd94,192.01,2026-04-08,BATCH-8901d7ec-8ecc-4e4d-8934-9d0e7376db23,settled,UPI
SET-2c699d24-dccb-4d54-9b40-cc9a702e824e,TXN-5f6bfb2b-783f-43f2-bb7f-66136beec8a2,91.26,2026-04-08,BATCH-910ae6e7-35ec-41dc-806c-8542d40503ec,settled,wallet
SET-743193c9-26fc-4039-9751-03f5ed533b98,TXN-235e90e8-4562-43a6-9572-158c3e03f72d,105.25,2026-04-08,BATCH-a32c55c7-e1ff-44da-9ced-03d44fc9f8e3,settled,UPI
SET-078395b3-2beb-4025-b848-8ee23b8110d4,TXN-acbeceda-6aa3-4b23-a2f4-56746db1eeeb,617.15,2026-04-08,BATCH-81145f0d-0a82-4460-bc4e-0e16be30cbeb,settled,UPI
SET-d25e18ac-16f0-4ceb-b770-0fc3db901c0a,TXN-af92ceb8-fef8-4be0-8ab2-75ef7671bc38,51.25,2026-04-08,BATCH-1414f1d4-03ab-43df-853f-f2d6fdf8378f,settled,wallet
SET-a03d91fd-eddc-4dc7-a07d-e9b9ef9292d6,TXN-120ce596-2413-4e18-a6ce-2b20c11453aa,120.3,2026-04-09,BATCH-5a514004-da19-463c-bd8a-b4f37544f986,settled,UPI
SET-ff4d48bd-ec9b-4707-9e70-350dad1346ce,TXN-fd54b216-bc9b-4869-a341-76d1bbe94f80,69.91,2026-04-09,BATCH-3a5751df-dd5f-482c-a3e8-155c02a8e600,settled,wallet
SET-23959dc5-b17a-4ffa-9dd5-b87398156292,TXN-e5a19d0b-f02f-45dc-9fe2-35066f81cf36,666.12,2026-04-09,BATCH-0b12fcd0-936c-4373-8b77-c2a981060f5c,settled,wallet
SET-b74aff77-f2b5-451d-a62c-426bf25a8575,TXN-5f047a52-b655-47c4-bafe-7e974f3ebfdb,134.81,2026-04-09,BATCH-a2157993-ce3f-41b5-a0c3-1ccdfe953a82,settled,wallet
SET-30a3d6ed-3f61-4f5c-89c3-02742f76e781,TXN-f2ce4a34-e049-42d7-9bd5-89976d10ece7,53.91,2026-04-09,BATCH-6a0a4481-a431-426c-8a54-c1660812ed13,settled,UPI
SET-a74a10cc-c0d8-42b4-b14e-d34dd6834238,TXN-3ee0d641-cff4-468f-a08a-a93b62663c1b,84.65,2026-04-09,BATCH-3e1c39cf-1ff9-4e47-aa39-22f4f7f7290b,settled,UPI
SET-f1d140bd-b145-4136-9580-77ee20853e70,TXN-c103fb7e-f22c-4637-a5b3-96deb3ec776b,778.3,2026-04-09,BATCH-e98fa8ee-3d2d-491e-9b38-bf6e9e399664,settled,UPI
SET-d117a808-cd61-47d8-86b5-3579a50084f0,TXN-999ae77d-d3c5-4b34-a343-0914589110b9,104.94,2026-04-09,BATCH-68085b8c-9865-412c-8527-6d87284d2dfb,settled,wallet
SET-0a82a1e0-dfc1-4500-9142-38730da04192,TXN-1e22d870-b578-46e7-850d-340958843d59,82.7,2026-04-09,BATCH-0af62448-3bff-4a74-85c8-d1f34bd78147,settled,UPI
SET-1247f9e4-41bd-4719-ae08-1ab01f7f3651,TXN-3489198a-8bc0-4fd3-976a-584e0e72b083,155.29,2026-04-09,BATCH-09acd79f-10b2-4a7f-a376-98c3db630535,settled,UPI
SET-e1f32e8e-c54a-4994-900e-a01bada95062,TXN-9c3c75da-0fd6-4932-8b11-14881f59b0a5,342.92,2026-04-09,BATCH-137d8c87-50d4-40b2-98b0-4954435c22d1,settled,UPI
SET-4217f6d8-f59f-426f-b8d4-822f24c06e56,TXN-4397dcd4-4b2f-4df5-b059-e2ee8eada543,103.86,2026-04-09,BATCH-ae57b35e-e047-47d6-93cc-93dc7d6c1a33,settled,credit_card
SET-b2c5e7bb-8c76-4202-b0ac-3f6201bb44bb,TXN-a9cff681-6f8c-4213-bd77-b8c673a79bc0,5.56,2026-04-09,BATCH-67cce438-f1f8-4df7-9de3-e31529644421,settled,wallet
SET-f9c6fc59-4328-4d2a-a1c4-98ec328ba668,TXN-f1572faf-5e29-482d-9aa4-0d34ca3e742a,160.28,2026-04-09,BATCH-79ef6ada-080e-43cf-a13a-727df2a6882d,settled,UPI
SET-0b1d0948-486f-4e42-b59f-e2cb25ac628c,TXN-c649784b-faf3-4a06-8d44-c31fd8c73772,15.85,2026-04-09,BATCH-172b69a2-c07f-4fd0-b40e-a9dd67d174c7,settled,credit_card
SET-c2681174-208e-4945-a708-8b313e5b858b,TXN-ade77149-3fed-4abf-80cb-9a14567f67af,90.67,2026-04-09,BATCH-3a6ae925-f1c5-47b9-bfef-deae45bc61d0,settled,UPI
SET-3770b624-5cf5-46bf-a9ed-5ab70c2d135e,TXN-0acec14b-ec22-4e51-81bc-9afdc1b144e1,303.46,2026-04-10,BATCH-6c679d03-b735-4d84-b6a7-faed30910e76,settled,UPI
SET-c05dad90-f0f7-4df8-b488-ccde99f126f7,TXN-a77ca21b-f88f-4259-b6cd-93b7f70f3292,53.84,2026-04-10,BATCH-768954f7-75dc-45d4-a94c-19d166d17b92,settled,wallet
SET-83b7591a-9ce1-493d-a179-fcd1906d64bd,TXN-7280bc08-e261-4caf-876e-1c5e2db17dd3,51.91,2026-04-10,BATCH-0b206af9-eb41-425e-af45-ac02e47b4bc6,settled,wallet
SET-d14c9f46-48eb-419f-a9ea-490bf3b35a35,TXN-28125bd1-1b69-4ce5-94f0-91bd7d30e09f,24.5,2026-04-10,BATCH-2026-04-10,settled,net_banking
SET-193157eb-7260-4c1a-8370-dd564d4fa740,TXN-724fb9e2-90bb-48a3-ba40-9e4217768d3f,800.76,2026-04-10,BATCH-f72d9711-e9b1-4252-a226-dee767ea1229,settled,UPI
SET-587a6c6c-0bcd-475f-b036-5ef20aa0b65a,TXN-ed0cdbc4-b67c-45e3-94d6-8c273a7c0a5f,36.47,2026-04-10,BATCH-a25f85ac-d557-4844-9029-df31fa6efdc2,settled,wallet
SET-90d159ac-07f4-4054-af71-a89ab761044d,TXN-c8fbcdcb-02fe-4ff3-ae01-1e3535ba0975,52.55,2026-04-10,BATCH-69be57b9-35af-4543-b28f-fc363c3238d9,settled,UPI
SET-9d9f7dfb-6260-4e65-9c04-e69c0ae59dbb,TXN-4aea4c90-788c-4b60-b574-d10fdd5a3a75,150.96,2026-04-10,BATCH-aa30844d-7533-4358-a327-1e00db695417,settled,wallet
SET-d0d6f2c3-0032-4a2a-909b-f8922ea0628d,TXN-ab3b2c41-3976-4753-8393-09ef05813fde,68.68,2026-04-10,BATCH-e4d121be-753e-4b26-bab6-8ac7be28318f,settled,credit_card
SET-40c2a0dd-3f6b-489c-86dd-0fb488bb2ff4,TXN-0a0b686c-2990-4c09-9b62-aa9af01ccd54,119.26,2026-04-10,BATCH-19b6d92d-eb35-41e1-8bf7-08e06487d058,settled,wallet
SET-34b564d4-b4e4-4437-91b3-f637113b21f2,TXN-b4a64752-4bd9-4212-9d6c-bf7df43cc7b5,13.79,2026-04-10,BATCH-6c9e3ea6-7f61-4a9b-9e6b-8087b450f6f0,settled,credit_card
SET-f232ea00-80ea-4f9a-9ee2-57e34e270c17,TXN-f8c7a6f5-1c23-44b6-9a8c-7d16b8971533,100.54,2026-04-10,BATCH-b966e23e-09f2-4023-9f79-3508b5f5ff16,settled,wallet
SET-58190260-d5a5-4b0f-9026-5248404f2f3f,TXN-ab98662d-38da-4123-b197-44d7c6cd040d,1034.93,2026-04-10,BATCH-2026-04-10,settled,net_banking
SET-d05e5dba-3035-45ac-bb54-15254c41d297,TXN-5515ae99-ba26-4797-a657-65a221c72690,188.35,2026-04-10,BATCH-748b2aee-4bf3-4cf9-846f-1c416317e449,settled,UPI
SET-46eeb057-6378-4c95-9659-0b98c766e658,TXN-7511b889-645f-4e98-ad87-24018cd829d3,499.19,2026-04-10,BATCH-2026-04-10,settled,net_banking
SET-86a49f6d-b443-49a0-bfb6-9bcb0300e812,TXN-9a31b76e-fda4-48a6-830a-b4fb20eee7a0,588.55,2026-04-10,BATCH-bd177ce0-9531-47c9-9218-05c493d83633,settled,UPI
SET-76da1417-c572-4713-a072-9fdd23d54b34,TXN-935c641b-f7ba-4a45-9070-303c4ff5eed2,267.82,2026-04-10,BATCH-2026-04-10,settled,net_banking
SET-80f8742a-b752-4ed3-a4d7-eff8bc62bd3f,TXN-f7a1cf23-1f43-4df4-b8d9-a4b31ff92010,60.05,2026-04-10,BATCH-116c711a-b879-4c9f-88c0-10e2e08d6125,settled,credit_card
SET-93cc1c4a-4cb5-40f6-9adc-87bd6621d512,TXN-e9035084-3816-48ae-8c0b-40e18cdeacdc,33.59,2026-04-10,BATCH-bffa37b0-2da9-4630-ae94-ead6b71f5314,settled,UPI
SET-db892bec-7aae-47bf-9281-f79ea45dfaba,TXN-729f06c0-fee2-4a2d-8379-5f9f0fb4d568,122.27,2026-04-10,BATCH-bd8705a4-b8b6-4f70-a8a4-cd3f191557ac,settled,credit_card
SET-5fd5e89e-b447-4b7a-99ef-ada39e494de5,TXN-e6b57765-a804-4e58-8435-07a3fba0110a,75.91,2026-04-10,BATCH-2026-04-10,settled,net_banking
SET-01cc369c-54f9-4283-9976-75a2bc07dcde,TXN-33185868-baf1-43d1-8a03-8c729cefc0df,39.05,2026-04-10,BATCH-b9a2878c-d232-4a1f-9e54-a35ad8a777cf,settled,UPI
SET-8574e7ec-451a-4c9c-b1ab-5c3751d99a1a,TXN-8eee64d3-210d-473d-9083-2b84e2b578ac,93.42,2026-04-10,BATCH-ac0558ad-9194-47a8-80ea-c99b57259f4f,settled,credit_card
SET-91a517a7-ed76-47e1-8aed-d95cd4a221dc,TXN-341367ba-6e61-4b38-be1b-a988ec1ee16b,367.05,2026-04-10,BATCH-4232ae29-8d65-4267-9c60-c5af64e94be3,settled,UPI
SET-9a9ea7c5-145a-460c-b401-20fab43cefd7,TXN-0ecf1fff-7807-4766-8cb2-1eea262ba5a9,76.91,2026-04-11,BATCH-e0df6dcb-45b5-4ce9-a9ed-4ce116b772f3,settled,UPI
SET-016a4f6d-32e8-482f-abdc-ef5cea799d93,TXN-3b915991-547a-4e6e-9230-57a32e65d585,935.63,2026-04-11,BATCH-7209d513-4ec5-4619-b511-a97957e2df13,settled,wallet
SET-92820232-c3c7-4249-84e5-fb3f8d2017f9,TXN-664fb235-3199-422c-868e-8ed2533ec625,67.64,2026-04-11,BATCH-9f0c2779-fcaf-4ed1-8a47-993abd431c94,settled,UPI
SET-5d5212bc-40ad-46b0-a6a7-5f6ac89dfb07,TXN-e7abd92d-1584-441a-9f04-e7e9ab9ea32b,92.41,2026-04-11,BATCH-f398a4db-40b7-4faf-843f-2642252f7cc5,settled,wallet
SET-b563a3dc-f23a-4af6-a3e7-0f3ea2e43c1d,TXN-773c8530-ff5f-4194-a639-aa401a10e85f,339.4,2026-04-11,BATCH-d4f81036-4139-4912-a73c-c1432ec741eb,settled,UPI
SET-2da2bd82-c14b-43a9-9ec7-3ec97002190a,TXN-ee979473-a563-4d2c-a17f-226a508f2c98,19.31,2026-04-11,BATCH-09aff266-7752-499d-b0c6-c13b8f9d7a92,settled,wallet
SET-655e729d-40e1-4e1b-bd5e-0ca64507c61c,TXN-a10eea0c-f863-49df-853e-f4e5a7f209b1,299.86,2026-04-11,BATCH-d7fb1b03-2405-42d7-84b8-48e93ad19686,settled,wallet
SET-4435327b-7866-4f27-883e-dff40eeabf6c,TXN-e156f3b4-c845-4fcb-b259-01def521649f,129.76,2026-04-12,BATCH-b60a5332-64e2-40ec-b4f5-c6f5556d7311,settled,wallet
SET-70e8227d-2a8c-4ca5-acb9-85c991504b1d,TXN-7d616eea-54cd-492a-a9f1-f4758956958b,67.75,2026-04-12,BATCH-0edd0fc3-b654-4e3e-b215-eb300f9fe7b2,settled,wallet
SET-ee5a09cb-f8ce-4a25-b1b0-d08a27a63116,TXN-9bfe83f9-197a-4172-9527-082ec3caa477,41.82,2026-04-12,BATCH-c658c67e-0adb-46c9-ac36-bbe18a045a83,settled,wallet
SET-bc07398a-76da-4d20-a5f6-390b6704db6e,TXN-5525a261-4d3e-4dad-a141-280d8fce801a,29.74,2026-04-12,BATCH-a7fbe29d-05bb-4045-a39f-c2c16dce10c5,settled,UPI
SET-71fece8c-6d3d-4a3a-b334-5c73a5d87695,TXN-edc69b44-0b7d-45ca-a6dc-596e73d6c6ff,568.45,2026-04-12,BATCH-b975a768-5397-4fba-84cd-802a68456db3,settled,wallet
SET-a8336c91-0b72-426a-9d1c-ed6f27db18ec,TXN-3efe9aa1-8512-48a6-b793-89f9cca0e998,275.31,2026-04-12,BATCH-aef901c7-d075-4450-a973-0065b26acc90,settled,wallet
SET-34f87241-03be-4542-bb9d-112d0c26e43e,TXN-a34ab49e-f68b-4af6-bde5-abdf77fd8432,119.38,2026-04-12,BATCH-44cd7309-50c9-4f93-9d40-f8a43447ea2c,settled,wallet
SET-6ee790f9-5deb-4a5a-a3f8-8b7375a22b71,TXN-03021226-e0e7-4327-af22-a35f72dd212e,17.43,2026-04-12,BATCH-99dcf2ae-d1fe-40f6-90b5-74613d480afa,settled,wallet
SET-bb46f6da-b5b6-4092-a3f0-e5ed3e5321bf,TXN-1fd0781f-441a-426b-9fcb-7803c378bed4,63.85,2026-04-12,BATCH-6ef7c433-1579-41ed-b025-715cd11f4b08,settled,UPI
SET-b2ccf94f-8bc5-427f-a7e0-c9d74ac5558e,TXN-7aa3a704-fd77-4ed6-83ab-1e690a773575,210.23,2026-04-12,BATCH-f70ad9be-6eb0-47ba-a205-fe26a4b46c08,settled,wallet
SET-5ed034b2-9e01-4fc1-972d-ecb1dfb001b7,TXN-ce1ab9fc-ddc7-45eb-9596-0fdc0872bb1a,18.33,2026-04-13,BATCH-d9351aa2-2881-452c-a82c-b002213205c4,settled,credit_card
SET-c5dcf0ad-508e-455b-9551-1095f67f64d3,TXN-5405c3d1-e153-4aaf-8ede-940e1bfa82e7,143.34,2026-04-13,BATCH-715a2b30-7478-40f4-b843-35325fbb5033,settled,UPI
SET-fd474281-9fef-4328-8468-a3c774158bda,TXN-aa252dca-849d-4eea-b835-6e0ac6afc00f,117.65,2026-04-13,BATCH-a0a9176c-ae25-499a-a9e5-883e1fd7f401,settled,UPI
SET-984926e8-c3d2-4189-8ce7-0962d8f5984e,TXN-73ae0ee9-f15e-48be-afa4-7c92aa797bf5,56.34,2026-04-13,BATCH-fc33500c-d28b-4884-a53a-d21750ad0372,settled,UPI
SET-c2fae2c6-93d4-417b-ab35-c2354ccc163c,TXN-dd2d2d8d-8ae8-48d1-95c1-2a1a6668fc43,81.01,2026-04-13,BATCH-a25fe6a5-056d-4d9e-abcd-3347ca57ddfa,settled,UPI
SET-5d41d26c-03a3-46ee-8971-b7c657a98eb6,TXN-997e2145-7151-41ff-870c-d6cc32755828,626.06,2026-04-13,BATCH-0bd674ad-b756-4243-a9ff-9e06130038bc,settled,wallet
SET-81198ed1-4780-43ea-8191-f3ac8d1920df,TXN-cf9a18e0-3476-4188-b168-0f3c7dcce5a8,224.12,2026-04-13,BATCH-22ad0fc2-c631-425a-bdab-4e5695564dea,settled,wallet
SET-8d577020-12d2-446e-8394-e1ffbdaf47dc,TXN-7f67c773-b7d1-4c94-b8c1-61eed9b5b161,272.93,2026-04-13,BATCH-7b36bedd-bfff-4423-be5f-af1b415e74d1,settled,credit_card
SET-1e05c4bd-de9d-4df4-bc8c-58f38fd4742b,TXN-2e3cea7a-a2a1-48a6-bb9f-ce3b74f9ae84,71.87,2026-04-13,BATCH-576a0541-959c-44f1-9a57-79594e83b7fe,settled,UPI
SET-7678586b-08d3-4332-98ec-65012b44b075,TXN-ec486384-d16d-4082-b519-65575065be90,62.15,2026-04-13,BATCH-93b52afe-6e70-4ed2-9265-c2dec9aeee45,settled,wallet
SET-53df501c-85e0-4950-8a8e-1a91601b23ce,TXN-9649ee92-36a7-4484-b5ba-d8d9502234fb,256.14,2026-04-13,BATCH-51f5e105-9727-43ec-859b-f19951ec256f,settled,UPI
SET-0c1de439-a0fd-4cb8-89f2-cba6d17cd40c,TXN-c1928084-0f85-4286-aeea-29c763454f1d,22.32,2026-04-13,BATCH-9089bf02-9833-4476-a48d-d63b61265123,settled,UPI
SET-66330375-28f8-4449-bb62-5f96c84f3399,TXN-f1ede9fa-6ead-49fe-a044-8473720105e3,103.55,2026-04-13,BATCH-a178eb95-f86b-4385-beb0-3b666042412e,settled,wallet
SET-22d14233-2557-4519-84d1-6ae884408a59,TXN-da5851bc-d7b0-44fb-8356-3ed1add59d21,51.69,2026-04-13,BATCH-326883dc-a4c2-4af8-8311-a7104c66a8a3,settled,UPI
