transaction_id,user_id,amount,currency,payment_method,transaction_timestamp,status,merchant_ref
TXN-b2f58590-4e1c-416c-8161-72e645d1b43a,USR-34a99d32-0def-4630-8315-d21c103947ea,254.46,INR,UPI,2026-04-07 01:20:10,completed,MER-EDGEKUVA
TXN-235e90e8-4562-43a6-9572-158c3e03f72d,USR-3b886969-f4ed-4913-895c-21ae68ba43f8,105.25,INR,UPI,2026-04-07 02:42:55,completed,MER-ZDSRIKEC
TXN-5f6bfb2b-783f-43f2-bb7f-66136beec8a2,USR-e4f1a1bf-83a4-465a-89a0-7d4595c5b367,91.26,INR,wallet,2026-04-07 06:33:47,completed,MER-AIOOETJA
TXN-f74a7873-f2d1-4c25-ad56-365fc13bcd94,USR-f747389e-e5e0-4dee-b4c0-ada8c5feedee,192.01,INR,UPI,2026-04-07 08:23:09,completed,MER-VXIOQKVC
TXN-43175bb4-bfcb-487c-8cfd-4f487bd55fdf,USR-6b0ade0b-8429-4f7b-8377-5e7267dcaa64,59.66,INR,UPI,2026-04-07 10:44:15,completed,MER-XUFUDOQS
TXN-e6b57765-a804-4e58-8435-07a3fba0110a,USR-0fee8cb6-9341-4c63-9cec-45523dad74f5,75.91,INR,net_banking,2026-04-07 18:24:03,completed,MER-VDTJCJUM
TXN-c75542f4-b1f5-4c78-a288-693a09338b00,USR-ff08d077-bbbc-4bf0-b967-636d9da7d642,175.96,INR,wallet,2026-04-07 18:32:19,completed,MER-KHHHAYPN
TXN-4397dcd4-4b2f-4df5-b059-e2ee8eada543,USR-28931141-bb7e-40a1-b9a7-f3d3aaf3e6a4,103.86,INR,credit_card,2026-04-07 18:33:39,completed,MER-WJQJCISY
TXN-b3171548-32a3-40a5-b681-4dfd5cf2d69e,USR-f999caf7-8ffe-4ab7-8de5-1dc312773ece,93.83,INR,UPI,2026-04-07 18:48:03,completed,MER-GTXFEBZU
TXN-acbeceda-6aa3-4b23-a2f4-56746db1eeeb,USR-91843f13-3765-421a-9015-cf3881e32797,617.15,INR,UPI,2026-04-07 19:09:29,completed,MER-SKFFBPYV
TXN-a7a434c4-09bd-44dc-9c15-93bf229ca777,USR-d81489dd-91d8-4d46-8a97-8907152683eb,100.47,INR,credit_card,2026-04-07 19:50:18,completed,MER-XMSKYTVN
